Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB,h_initial,States_Evaluated,Heuristic_Time_ms
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hlm-count,234,34451,7930295,2951.66,8.0,8606717,18852
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hlm-count-filtered,234,51296,12020007,3154.41,8.0,12891851,28545
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hadd,159,76,3438,73.25,39.0,4568,36
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_2_3.pddl,hmax,152,92,2505,120.43,14.0,4566,43
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-local,357,382,9268,345.68,64.0,12485,290
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,onld-hadd,349,435,7345,373.48,97.010994,10597,369
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,hlm-count,T/O,T/O,T/O,10318.85,12.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,hlm-count-filtered,T/O,T/O,T/O,11527.99,12.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,hadd,340,119,7925,109.23,89.0,9894,48
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_1.pddl,hmax,294,147,9583,111.29,19.0,15280,76
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,onld-local,T/O,T/O,T/O,5613.36,25.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,onld-hadd,59,119,646,126.68,44.006996,1481,96
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,hlm-count,74,61,856,74.08,11.0,1473,38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,hlm-count-filtered,74,45,856,73.76,11.0,1473,26
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,hadd,41,38,734,73.87,50.0,1225,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_2.pddl,hmax,49,38,541,73.83,10.0,1209,18
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,onld-local,183,3578,248221,1275.79,54.0,406152,2857
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,onld-hadd,202,659,9321,423.98,84.0,13845,601
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,hlm-count,T/O,T/O,T/O,10809.64,11.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,hlm-count-filtered,T/O,T/O,T/O,10945.72,11.0,T/O,T/O
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,hadd,197,105,6691,110.15,58.0,8350,38
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_10_3_3.pddl,hmax,164,152,9485,108.69,15.0,17135,79
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,onld-local,21,21,91,73.58,10.0,126,16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,onld-hadd,21,26,92,74.04,14.004,124,19
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,hlm-count,20,16,58,73.86,6.0,122,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,hlm-count-filtered,20,15,58,73.52,6.0,122,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,hadd,21,16,94,73.95,11.0,156,7
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_1.pddl,hmax,21,13,61,73.66,8.0,121,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,onld-local,50,29,249,73.96,14.0,350,17
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,onld-hadd,50,37,226,74.41,18.001999,288,26
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,hlm-count,35,26,369,74.14,4.0,699,12
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,hlm-count-filtered,35,27,369,73.51,4.0,699,14
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,hadd,46,21,244,74.02,14.0,338,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_2.pddl,hmax,42,20,150,73.92,12.0,279,8
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,onld-local,21,23,72,73.89,10.0,202,16
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,onld-hadd,23,31,89,73.68,12.003,192,25
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,hlm-count,21,15,103,73.31,5.0,209,6
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,hlm-count-filtered,21,18,103,73.7,5.0,209,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,hadd,21,16,71,74.1,11.0,202,10
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_1_3.pddl,hmax,21,14,45,73.16,9.0,186,6
examples/pddl2_1/plant-watering/domain.pddl,examples/pddl2_1/plant-watering/small_instances/mt-plant-watering-constrained/instance_4_2_1.pddl,onld-local,21,26,96,73.61,10.0,260,19
